"Barcode","MaterialCode","MaterialName","RouteCode","WorkCenterCode","JobDate","ProdQty","CompleteRoute","ProdDateTime"
"VVQQ133R072734","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-15","1057.00000","","2026-08-16 04:04:11"
"VVQQ143R072710","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-15","1044.00000","","2026-08-15 18:21:31"
"VVQQ143R072711","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-15","1049.00000","","2026-08-15 12:23:51"
"VVQQ143R072712","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-15","1055.00000","","2026-08-15 18:19:20"
"VVQQ143R072716","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-15","1052.00000","","2026-08-16 03:51:19"
"VVQQ143R072719","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-15","1060.00000","","2026-08-16 07:20:07"
"VVQQ143R072720","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-15","1056.00000","","2026-08-16 05:26:29"
"VVQQ143R072730","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-15","1052.00000","","2026-08-16 04:03:27"
"VVQQ153R072708","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-15","1068.00000","","2026-08-16 05:46:55"
"VVQQ083R072704","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-16","1066.00000","","2026-08-16 21:14:55"
"VVQQ093R072708","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-16","1065.00000","","2026-08-16 21:13:59"
"VVQQ093R072716","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-16","1065.00000","","2026-08-16 21:14:29"
"VVQQ093R072718","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-16","1059.00000","","2026-08-16 21:15:13"
"VVQQ103R072701","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-16","1065.00000","","2026-08-17 06:38:15"
"VVQQ103R072717","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-16","1072.00000","","2026-08-17 06:38:34"
"VVQQ123R060624","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-16 14:06:12"
"VVQQ123R060625","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-16 14:06:52"
"VVQQ123R060626","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-17 16:08:42"
"VVQQ123R060627","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-16 14:07:13"
"VVQQ123R060628","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-16 14:15:18"
"VVQQ123R060629","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-16 14:06:32"
"VVQQ123R060630","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-16","500.00000","1","2026-08-16 14:15:48"
